districtid,timeid,neighborhoodzscore,statezscore
141,3,1.3,1.11
141,4,3.27,1.19
141,5,-0.49,-0.54
141,6,-0.09,-0.47
141,7,-0.77,-0.5
142,3,-0.3,0.16
142,4,3.24,0.25
142,5,-0.08,0.11
142,6,2.25,-0.09
142,7,0.75,-0.26
143,3,0.0,-0.24
143,4,1.74,-0.32
143,5,-0.94,-0.34
143,6,-0.94,-0.39
143,7,-0.51,-0.18
144,3,-0.57,-0.58
144,4,-0.66,-0.42
144,5,-0.51,-0.29
144,6,-0.77,-0.34
144,7,-0.56,-0.07
145,3,0.52,0.27
145,4,-0.3,-0.22
145,5,-0.6,-0.29
145,6,-0.85,-0.61
145,7,0.08,-0.35
146,3,0.0,-0.48
146,4,0.0,-0.32
146,5,0.0,-0.49
146,6,0.0,-0.7
146,7,0.0,-0.47
147,2,0.0,-0.36
147,3,-0.93,-0.61
147,4,-0.83,-0.41
147,5,-0.68,-0.58
147,6,2.11,-0.37
147,7,3.69,-0.37
148,2,2.83,-0.17
148,3,-0.99,-0.9
148,4,-0.48,-0.53
148,5,-0.34,-0.11
148,6,0.15,0.25
148,7,-1.19,-0.48
149,2,0.0,-0.71
149,3,-0.54,-0.76
149,4,-0.28,-0.69
149,5,-0.28,-0.4
149,6,-0.82,-0.71
149,7,0.15,-0.45
150,3,0.47,-0.49
150,4,0.38,-0.47
150,5,1.26,-0.34
150,6,-0.17,-0.32
150,7,0.31,-0.05
151,2,0.0,-0.36
151,3,-0.69,-0.65
151,4,1.6,-0.4
151,5,4.23,-0.3
151,6,-1.9,-0.7
151,7,-0.12,-0.54
152,3,-0.56,-0.22
152,4,-0.66,-0.41
152,5,-0.35,0.11
152,6,-0.14,0.34
152,7,-0.33,0.2
153,2,-2.6,-0.41
153,3,-0.07,-0.08
153,4,-0.66,-0.67
153,5,-0.68,-0.82
153,6,-0.37,-0.13
153,7,-0.55,-0.26
154,2,-1.41,-0.36
154,3,-0.34,-0.22
154,4,0.21,0.06
154,5,8.07,2.87
154,6,2.57,0.32
154,7,0.13,0.3
155,3,-0.23,0.02
155,4,1.02,0.39
155,5,-0.37,-0.66
155,6,0.57,-0.14
155,7,2.85,0.86
156,3,-0.45,-0.08
156,4,-0.28,0.0
156,5,-0.75,-0.24
156,6,-0.87,-0.6
156,7,-0.76,-0.54
157,3,-1.15,-0.9
157,4,-0.43,0.01
157,5,-0.24,-0.07
157,6,-0.38,-0.2
157,7,-0.79,-0.96
159,2,-1.9,-0.65
159,3,2.04,0.52
159,4,-0.71,0.06
159,5,-0.57,1.07
159,6,-0.68,-0.23
159,7,-0.76,-0.2
160,3,0.0,-0.58
160,4,-0.85,-0.32
160,5,-1.24,-0.29
160,6,0.01,-0.06
160,7,-0.62,-0.46
161,3,2.45,0.16
161,4,0.15,-0.32
161,5,-0.66,-0.28
161,6,0.85,-0.18
161,7,-0.59,-0.38
162,2,0.0,-0.54
162,3,0.41,0.37
162,4,-1.33,-0.64
162,5,-0.37,-0.55
162,6,11.96,3.03
162,7,3.62,0.3
163,2,-1.43,-0.39
163,3,12.54,5.81
163,4,1.44,3.11
163,5,-0.36,-0.11
