districtid,timeid,neighbormean,neighborstdev
550,1,1328.5,68.5
551,1,1324.5,856.87
552,1,2234.6,1213.41
553,1,3498.78,1295.28
554,1,2326.5,1919.32
556,1,8987.0,4314.48
557,1,1554.5,307.5
558,1,459.33,558.49
560,1,5103.0,1513.35
561,1,460.0,166.15
562,1,2745.75,1885.36
563,1,43472.5,4254.5
564,1,3569.83,3575.07
565,1,1243.43,566.47
566,1,1661.57,1027.29
567,1,10928.0,2715.0
568,1,5460.0,1298.54
569,1,6175.5,3724.5
570,1,1209.5,770.5
571,1,47609.2,46627.56
572,1,3544.8,758.49
573,1,10567.33,3665.59
574,1,16386.0,4561.65
575,1,3570.17,1380.32
576,1,17319.75,17557.38
577,1,89070.75,80184.28
578,1,1716.12,1372.97
579,1,1477.4,1509.76
580,1,2930.0,4051.7
582,1,2444.83,3869.17
583,1,1397.14,911.3
584,1,1434.8,1527.19
585,1,2884.4,1289.14
586,1,32362.8,56155.3
587,1,7979.67,3780.53
588,1,1264.8,810.99
589,1,4880.67,3900.79
590,1,4735.25,1996.21
591,1,1251.0,540.64
592,1,948.62,537.41
593,1,19237.6,10655.36
594,1,10223.17,10701.19
595,1,1797.6,1622.98
596,1,2526.83,3943.84
597,1,5074.0,4764.3
598,1,1987.5,1531.92
599,1,2166.88,859.8
600,1,896.5,371.49
601,1,3224.6,4268.9
602,1,956.6,340.38
603,1,3008.43,1649.19
604,1,3075.67,970.02
605,1,4096.2,1743.86
606,1,31.0,0.0
607,1,3051.83,1833.79
608,1,6625.14,6548.27
609,1,2291.67,1827.67
610,1,3139.33,1318.18
611,1,3333.8,1643.76
613,1,15406.8,8093.22
614,1,3777.67,4162.48
615,1,6621.57,6488.28
616,1,54410.6,70171.89
617,1,588.0,293.0
618,1,1526.33,1997.97
619,1,2139.43,3629.0
621,1,8390.4,13972.58
622,1,68.0,52.0
624,1,425.4,167.77
625,1,3162.0,2085.09
626,1,901.4,516.64
627,1,3209.0,1333.81
628,1,2655.5,1221.2
629,1,4675.5,1810.5
630,1,1880.83,1914.18
631,1,130.25,80.73
632,1,1379.43,1600.09
633,1,2148.12,2034.5
634,1,157.2,111.91
636,1,630.2,152.95
637,1,3638.8,4013.4
